,0,1,2,3,4,5
50,"wcd_9-symphonien_berliner-philharmoni_flac_24bit-lossless_30363380/Ludwig Van Beethoven - 9 Symphonien/Symphonie Nr. 9 D-moll op. 125/34. Allegro Ma Non Troppo, Un Poco Maestoso.flac",Berliner Philharmoniker,"Symphonie Nr. 9 D-Moll Op. 125 - Allegro Ma Non Troppo, Un Poco Maestoso",926.12,,
51,wcd_100x-zomer-2014_5-seconds-of-summer_flac_lossless_31630825/100x Zomer (2014)/Disc 4/19. Kraantje Pappie ft. MC Jiggy Djé - Feesttent.flac,5 Seconds of Summer,Feesttent,186.48,,
52,wcd_2-ryk-og-en-afleveri_hakon-hellstrom_flac_lossless_29196170/Various - 2 Ryk Og En Aflevering (2003)/18 - Under Byen - Gun City Rider.flac,Håkon Hellström,Gun City Rider,168.69,,
53,wcd__acdc_flac_lossless_1042260/AC-DC - Powerage  (albert cd 465260 2)/08 - Up To My Neck In You.flac,AC/DC,Up To My Neck In You,255.4,https://www.youtube.com/watch?v=SY01aJbHf1U,
54,wcd_1084_louder-than-words_flac_lossless_30164302/МамаВикиСоколовой & Louder Than Words Split (2010) [FLAC]/06 - МамаВикиСоколовой - Без Названия....flac,Louder Than Words,Без Названия...,35.49,,
55,wcd_a-connecticut-yankee_lorenz-hart_flac_lossless_30244174/Rogers and Hart- A Conneticut Yankee (2001) [FLAC]/03 - Thou Swell.flac,Lorenz Hart,Thou Swell,176.97,https://www.youtube.com/watch?v=NN3kjZX1YDE,
56,wcd_15years--tk-selectio_globe_flac_lossless_31529531/Globe/15 Years - TK Selection -/Disc 5- Jupiter -/10. Globe -15 Years - TK Selection - JUPITER - 10 - Lights brought the future.flac,Globe,Lights brought the future,472.04,https://www.youtube.com/watch?v=mxep0XLJ88o,
57,"wcd_2014-08-31---moedow_moe_flac_lossless_31664817/2014-08-31 Turn, NY/moe140831d2_05_Puebla.flac",moe.,Puebla,671.53,,
58,"wcd_893-the-current--li_alabama-shakes_flac_lossless_31217482/Various Artists - 89.3 The Current- Live Current, Volume 9 (flac)/04 - JD McPherson - North Side Gal.flac",Alabama Shakes,North Side Gal,203.64,,
59,wcd_20-aniversario_los-bukis_flac_lossless_30376805/Los Bukis - 20 Aniversario [FLAC]/Marco Antonio Solis y Los Bukis - 20 Aniversario CD 3 (1996) [FLAC]/01 Mi Mayor Necesidad.flac,Los Bukis,Mi Mayor Necesidad,249.0,https://www.youtube.com/watch?v=KgszfDyVRRY,
60,wcd_12_unlimits-_flac_lossless_31450709/UNLIMITS - 夢幻シンドローム [FLAC]/07 - カーマイン.flac,UNLIMITS (アンリミッツ),カーマイン,209.09,https://www.youtube.com/watch?v=M4OBvIhe67k,
61,wcd_1077_--_flac_lossless_29545275/IPV - Smertnoe (1991) FLAC/Instruktsiya po Vyzhivaniyu - 11 - Rapture of the Fall.flac,Инструкция по Выживанию,Rapture of the Fall,227.25,,
62,wcd_a-near-life-experien_grewsum_mp3_320_31283915/Grewsum - A Near Life Experience (2008) [MP3-320]/19 Genisis.mp3,GrewSum,Genisis,272.85,,
63,wcd_1085_rylez_flac_lossless_31224930/Rylez - Винний (2013) [WEB-FLAC]/01 Винний.flac,Rylez,Винний,156.73,,
64,wcd_abc_the-jackson-5_mp3_v0-vbr_1559639/ABC/07 Never Had A Dream Come True.mp3,The Jackson 5,Never Had A Dream Come True,180.77,https://www.youtube.com/watch?v=PXiajNH5O2E,
65,"wcd_2013-12-06-schnitzer_the-black-crowes_mp3_320_31414819/The Black Crowes - 2013-12-06 Schnitzer Hall, Portland, OR [MP3 320]/tbc131206d2_05_Jealous_Again.mp3",The Black Crowes,Jealous Again,371.46,,
66,wcd_1497_hanan-yovel_flac_lossless_1312240/Hanan Yovel - The Best Of Hanan Yovel - 2006 [FLAC]/Disc 1/16 - גן מאיר בתל אביב.flac,Hanan Yovel,גן מאיר בתל אביב,235.53,https://www.youtube.com/watch?v=_Q000psVRUA,
67,"wcd_2008-12-13--save-mart-center--fresno--c_flac_lossless_29951533/Metallica - 2008-12-13 - Live at Save Mart Center, Fresno, CA/met081213d1_06_Broken_Beat_And_Scarred.flac",Metallica,"Broken, Beat & Scarred",427.08,,
68,wcd_136-tales_oliver-gehrmann_mp3_320_30221512/Tim_Vita_Oliver_Gehrmann_-_136_Tales-(FATZIG005)-WEB-2012-YOU/03_tim_vita_oliver_gehrmann_-_ive_got_a_new_world_(original_mix)-you.mp3,Oliver Gehrmann,i've got a new world (original mix),453.38,https://www.youtube.com/watch?v=FKNJOI-W2ho,
69,"wcd_2013-07-10---pnc-ban_phish_flac_24bit-lossless_31537241/Phish - 2013-07-10 - PNC Bank Arts Center - Holmdel, NJ [24bit FLAC]/ph130710d1_03_Sample_In_A_Jar.flac",Phish,Sample in a Jar,432.49,,
70,wcd_2-alkuperaista_mamba_flac_lossless_31673090/Mamba - 2 alkuperäistä Mamba & Lauantai-ilta (1990) [FLAC]/13 - Adios Pancho.flac,Mamba,Adios Pancho,168.11,https://www.youtube.com/watch?v=vVwAJEnwMyM,
71,wcd_1077_izreal_flac_lossless_30921502/Легенды Про... - Две Стороны Одной Медали/Тёмная сторона/03 Телек.flac,iZReal,Телек,276.93,,
72,wcd_40-hardstyle-tunes-v_abject_mp3_320_742399/VA-40_Hardstyle_Tunes-(CFDIA)-WEB-2009-EMM/12-luna_-_unlocked.mp3,Abject,Unlocked,299.46,https://www.youtube.com/watch?v=_0t0E0g5FQM,
73,wcd_45-days_attar_mp3_320_31440736/[2014-05-05] 45 Days/(02) 45 Days [Douze Remix].mp3,ATTAR!,45 Days [Douze Remix],362.03,https://www.youtube.com/watch?v=kykr3904vLw,
74,wcd_100-chillout-ambient_4th-floor_flac_lossless_30612899/Various Artists [2011] 100 Chillout Ambient & Lounge (FLAC)/28. Movassagh - Thru Parallel.flac,4th Floor,Thru Parallel,156.76,https://www.youtube.com/watch?v=jSq3dj_CvW0,
75,wcd_3_mom_flac_24bit-lossless_31738172/Mom - 3 (2014) [FLAC]/Mom - Puzzle.flac,Mom,Puzzle,108.66,https://www.youtube.com/watch?v=Mh3UoCFdAnY,
76,"wcd_1072_-_flac_lossless_1541383/Leonid Fedorov, Vladimir Volkov - Krasota/05. Leonid Fedorov, Vladimir Volkov – Fidel'ka.flac",Владимир Волков,Fidel'ka,188.08,https://www.youtube.com/watch?v=pX6j_fbvuiw,
77,wcd_365_ubey_flac_lossless_30471045/ubey - 365 - FLAC/213 brainpipes1.flac,ubey,brainpipes1,128.95,,
78,"wcd_2009-07-05---rothbur_umphreys-mcgee_flac_lossless_1014432/2009-07-05, UM, Rothbury Music Festival, Rothbury, MI/um090705d2_07_Divisions.flac",Umphrey's McGee,Divisions,477.37,,
79,"wcd_1496_anna-vissi--_flac_lossless_31181489/Various Artists - Eurovision's Greatest Hits - 1997 [FLAC]/Disc 1/17 - France Gall - Poupée De Cire, Poupée De Son.flac",Anna Vissi (Άννα Βίσση),"Poup?e De Cire, Poup?e De Son",150.6,,
